Farmer ID,1,2,3,4,5,6,7,8,9,10
Why do you think so?,Thinks some will fertility and some will negatively impact the soil. ,,,It penetrates soil thereby loosening it which is good for root growth and nutrient absorption ,It creates space in soil which is good for aeration ,I heard that worms should be mixed with manure to have good fertilizer. I heard this on the radio.,Sometimes we think that worms negatively affect maize. ,,"Sometimes when we plant crops, we see many of them and still maize grow just fine",
Do you use any kind of (inorganic / organic) fertilizer?,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
Why don't you use it?,,,,"I had enough maize stalks which provides nutrients to soil if managed properly. I placed maize stalks between ridges, and build/buried the maize stalks on new ridges..",,,,,,
What types of fertilizer do you use?,"Inorganic (NPK-fertilizer / CAN / Urea),Organic (e.g Compost)","Inorganic (NPK-fertilizer / CAN / Urea),Organic (e.g Compost)","Inorganic (NPK-fertilizer / CAN / Urea),Organic (e.g Compost)",,"Inorganic (NPK-fertilizer / CAN / Urea),Organic (e.g Compost)","Inorganic (NPK-fertilizer / CAN / Urea),Organic (e.g Compost)",Inorganic (NPK-fertilizer / CAN / Urea),Inorganic (NPK-fertilizer / CAN / Urea),"Inorganic (NPK-fertilizer / CAN / Urea),Organic (e.g Compost)",Inorganic (NPK-fertilizer / CAN / Urea)
What type of inorganic fertilizer do you use?,"NPK-fertilizer,CAN - fertilizer","NPK-fertilizer,CAN - fertilizer","NPK-fertilizer,CAN - fertilizer,Urea",,"NPK-fertilizer,Urea","NPK-fertilizer,Urea",NPK-fertilizer,"NPK-fertilizer,Urea","NPK-fertilizer,Urea","NPK-fertilizer,Urea"
How do you decide which type of inorganic fertilizer to use and when?,They look at the health of the plants and size of the plant. When the plants are about to produce fruits they apply CAN,Use NPK to make the plants grow health. Used NPK after moving the tomato from nursery. Use CAN once the plants want to start producing fruits. Heard from people and friends to use it this way,I use NPk soon after the maize germinate for the maize to grow strong. I use Urea when the maize is about to produce fruits. I use CAN when urea is not available. They don't like CAN because it takes a short time for nutrients to deplete from the soil. We heard from agricultural extension workers about which fertilizer to apply. ,,"When we look at maize at some point it stops growing , so to get it growing we use NPK to facilitate it's growth. I learnt this from school and parents that NPK is good for maize growth. We use Urea when we see that the maize is about to produce fruits. We know that Urea is good for maize fruit growth",Availability of fertilizer. Can is very difficult to find here. Last time I used was like 9 years ago on a different field. I got it in Mangochi then. One week after planting I apply NPK. We just think that it's good to apply NPK fertilizer. We can't apply Urea after planting because it's too strong that it wilt the maize. I apply urea after 3 weeks. Urea start working after 21 days so that’s the time the maize start producing fruits. ,"We heard on the radio that NPK helps crops to grow well, and Urea helps crops to produce healthy fruits. Because of poor soil, we now apply NPK which was not the case in the past when soil was good",Availability od fertilizer. CAN is very difficult to find but it's good. When maize has 3 or 4 leaves we apply fertilizer. Urea is applied when the maize haa started producing tassels. We heard and hear this on the radio,Availability: It's very hard to find CAN so we use NPK instead. We hear on the radio that NPK is for plant growth. We also hear that urea is for health and strong fruits.,Quantity of fertilizer. A 50 kg bag of CAN has less volume so is not usually inadequate. Availability of fertilizer - Sometimes NPK is not available so the use urea for basal and top dressing 
How do you determine the quantity of inorganic fertilizer to apply in the field?,They apply at tea spoon for each plant ,They look at the size of the field. He also learn and observe from people doing this type of farming. ,It depends on the availability of fertilizer they have. When they have more fertilizer they put more. When fertilizer is more we use a table spoon. When fertilizer is less we use a tea spoon. We were told by agricultural extension workers again. It also depends on sowing/planting method. If they use sasakawa they use a bottle top as the quantity.  The other is the three seed per station and this go with the tea spoon/table spoon application ,,We used to get something like a cup in fertilizer which stipulates the amount of fertilizer to be applied on planting Station. This cup is equivalent to a table spoon or 3 tea spoons. This is also common knowledge to many that we apply a table spoon or 3 tea spoons.,We heard from agriculture extension workers that a teaspoon of NPK fertilizer is enough to make maize growth health. They also said a teaspoon of urea is enough to make maize produce strong and health fruits.,I was told by people and VAC. people say a teaspoon is equivalent to Coca-Cola bottle top. ,"The actual size of the land. We apply 1 teaspoon on one planting station. The panting stations are 30 cm apart. We apply fertilizer 3 or 4 cm apart. We learnt this from parents. If you apply more than 1 full table spoon, then crops get wilted.","Soil nutrient. This soil is is not so good so we use more fertilizer. We use a tea spoon of Urea, and table spoon of NPK instead of just using a tea shoot for both.",Size of the land. We apply handful of fertilizer till it fills up the whole field.
Have you received any training how to use the inorganic fertilizer?,No,No,No,,No,Yes,Yes,No,No,No
Where did you learn how to use the inorganic fertilizer?,,,,,,We learn this when agriculture extension workers are distributing fertilizer. This happens at the chiefs court,VAC training ,,,
"Explain how you use the inorganic fertilizer (e.g. timing, distribution method)","After planting, then after two or three weeks they apply NPK. They apply NPK on each planting station. Then after another two or three station they apply CAN","Once I see that the plant is established/ready/health, I apply NPK. I use CAN when I see that the plants are flowering. I apply fertilizer between 30cm stations. When the planting stations are 45cm apart I put fertilizer close to plant. I see this in other fields.",As the factors of determining the quantity ,,"For apply NPK 3 inches from the maize seed/plant. We apply NPK once the maize has 2 leaves. We plant one seed per hole at a distance of 30 cm apart. Urea apply when we see ngayaye, and we also see that it's producing the last leaves. The other leaves faces down, but the last one we know it since it doesn't face down. When we see this we know and apply Urea. We use the same distribution method, and quantity as NPK.","We apply fertilizer 10 cm away from planting Station. When we plant 3 seeds per station, the stations are 60 meters apart. When we plant 2 seeds per station, the stations are 30 meters apart. When we have more fertilizer we apply on both sides of the plants at 10 cm apart on each side. The timing has been described before",,As explained before,We apply fertilizer 5 cm meter from the plant. We plant crops 30 cm meter apart. We simply know that this spacing is ideal for maize. We apply NPK fertilizer whennit has 3 or 4 leaves. We apply Urea when maize is about 45 cm. Our soil doesn't make grow very high - so for very good soil you apply Urea when maize is at least a meter,"We apply NPK after 2 or 3 week ,or when maize plant has 3 or 4 leaves. We apply urea when it's on the knee height. We apply fertilizer at a distance of 4 to 5 cm from the plant to avoid wilting of the maize. I learnt from my family"
Have you ever experienced issues related to the inorganic fertilizer use on your farm?,Yes,Yes,Yes,,Yes,No,Yes,No,Yes,Yes
Please expain what issues you have experienced:,"It wilts crops when it's applied close to the plant. When they don't have money the plants don't grow well. Overall, they like fertilizer because it's faster and grow well","I used Urea once, and tomato died. It doesn't happen with CAN and NPK","When they apply fertilizer and the rain is not falling maize wilts. When they apply the fertilizer close, the maize dries out. When you start using inorganic, you have to continue using it. If you unstoppable and use organic fertilizer maize doesn't do well",,When there is little water maize dries out. It needs more watering.,,Maize still grow poorly on one side even after applying fertilizer. Buried maize stalks in that area to improve soil,,"When you apply fertilizer very  close to the plant, it wilts.","It caused wilting of maize. People told us that we applied urea close to the plants, and some said the fertilizer was very powerful "
Do you think the usage of inorganic fertilizer can have a negative impact on your crops?,Yes,Yes,Don't know,,Yes,No,Don't know,Don't know,No,No
Why do you think so? What could be an impact?,It dry out crops when it's applied excessively and close to the planting station,"If you use it on crops it has negative impact. For example, Urea on tomatoes is not good",,,Maize that got applied with inorganic fertilizer needs a lot of inorganic fertilizer to grow health. Maize which was applied with organic fertilizer doesn't need a lot of fertizer when used as seed.,,,,,
Why do you think so?,,,,,,It's just makes crops like pumpkins and maize grow better,,,Maize grow well with inorganic fertilizer ,"Fertilizer is okay, but maybe we don't know how to use it."
Have you received inorganic fertilizer form the AIP - Program?,No,Yes,No,,No,No,,Yes,No,Yes
The last time you received inorganic fertilizer - How much did you get? [kg],,25,,,,,,100,,185
The last time you received inorganic fertilizer - How much did you pay? [MWK],,3750,,,,,,60000,,240000
The last time you received inorganic fertilizer - How much did you used for this land? [kg],,,,,,,,100,,185
The last time you received inorganic fertilizer - Did you buy additionally inorganic fertilizer?,,No,,,,,,Yes,,No
The last time you bought inorganic fertilizer - How much did you buy? [kg],,,,,,,,50,,
The last time you bought inorganic fertilizer - How much did you pay? [MWK],,,,,,,,68000,,
The last time you bought inorganic fertilizer - How much did you use on this land? [kg],,,,,,,,150,,
The last time you bought fertilizer - How much did you buy? [kg],30,,250,,150,250,110,,200,
The last time you bought fertilizer - How much did you pay? [MKW],60000,,10000,,204000,75000 (I was buying fertilizer coupons from a guy who got fertilizer from the AIP program,125000,,180000,
The last time you bought fertilizer - How much did you use on this land? [kg],,,250,,150,250,,,200,
When was the last time that you applied inorganic fertilizer on your field? [day/month/year],28.10.2023,25.02.2021,06.01.2023,,18.11.2023,21.12.2022,,23.02.2023,25.01.2023,29.01.2023
How many times in a year do you apply inorganic fertilizer on your fields?,4,2,2,,4,2,,2,2,2
How often do you buy or/and receive inorganic fertilizer in a year?,I buy 15kg of 23:21 fertilizer twice a year. I also buy 15kg of CAN fertilizer twice a year. I also do the same for CAN  fertilizer ,Once a year 25 Kilograms. He is not getting it every year ,They buz 2 times a year 1 onve urea and once npk,,4 times,1 time,,2,"100kgs of npk, then 100 of urea",We buy once 
In what quantities do you buy or/and receive inorganic fertilizer in a year?,,,Urea 100kg / npk 150 kg,,300kg,"I buy one time, 5 bags of 50kgs of fertilizer ",,150kg. ,200kg,185
How strongly do changing inorganic fertilizer prices impact your farming operations?,A great deal,A great deal,A great deal,,A great deal,A great deal,A great deal,A great deal,A great deal,A great deal
Have you ever tried another option to increase your yield than inorganic fertilizer?,,,,,,,Yes,No,,No
What was the other option?,,,,,,,Burying maize stalks in the ground to restore soil quality ,,,
How benefical was the other option compared to inorganic fertilizer?,,,,,,,Somewhat better,,,
Why did you not try another option to increase your yield?,,,,,,,,"Fertilizer works fine, I don't need anything else",,Other people say animal manure is not good for farming
What type of organic fertilizer do you use?,Maize husks (bran) mixed with ash; Maize stalks with dry rice plants and burn it,Manure,Manure,,Manure,Manure,,,Manure,
Where do you get the manure from?,,I buy it,I buy it,,I produce it myself,I produce it myself,,,I produce it myself,
The last time you bought manure - How much did you buy? [kg],,50,100,,,,,,,
The last time you bought manure - How much did you pay? [MKW],,2000,4000,,,,,,,
How often do you buy manure in a year?,,Twice everytime 50 Kg,1,,,,,,,
In what quantities do you buy manure in a year? [kg/year],,,100,,,,,,,
How much manure do you produce in a year? [kg],,,,,50,600,,,400,
How many times in a year do you apply manure on your fields?,,2,1,,1,2,,,2,
How do you determine the quantity of manure to apply in the field?,,For 30 cm planting stations I use a handful of manure. For 45 cm I use the same handful but I apply it close to the plant,I don't usually use manure. This opportunity to get manure. They think manure brings back soil texture and structure. I apply a handful per station and once the field is completely applied with fertilizer I stop,,We put manure till the hole is filled. The hole is 2 between 3 and half inch. We copied this from our parents so we can't know whether this is good or bad,Our soil is not good it needs a lot of manure. We use a handful per station,,,Availability of manure. We ensured that we applied all the fertilizer we had.,
When was the last time that you applied manure on your field? [day/month/year],,25.10.2021,08.12.2022,,20.08.2023,21.12.2022,,,25.01.2023,
Have you received any training how to use the manure as organic fertilizer?,Yes,No,No,,No,No,,,No,
Where did you learn how to use / produce the manure as organic fertilizer?,I learned this at sustainable Cape Maclear,,,,,,,,,
Do you use the manure additionally to or instead of inorganic fertilizer?,,Additionally to inorganic fertilizer,Additionally to inorganic fertilizer,,Additionally to inorganic fertilizer,Additionally to inorganic fertilizer,,,Additionally to inorganic fertilizer,
Where do you get your organic fertilizer (not compost or manure) from?,I produce it myself,,,,,,,,,
How much of this organic fertilizer (not compost/manure) do you produce in a year? [kg],10,,,,,,,,,
How do you decide how much of this organic fertilizer (not compost/manure) you use in the field?,It depends on the availability of inorganic fertilizer. If they have inorganic fertilizer they don't need organic fertilizer ,,,,,,,,,
When was the last time that you applied this organic fertilizer (not compost/manure) on your field? [Day/Month/Year],21.11.2023,,,,,,,,,
Have you received any training how to use this organic fertilizer (not compost/manure)?,No,,,,,,,,,
Do you use this organic fertilizer (not compost/manure) additionally to or instead of inorganic fertilizer?,Additionally to inorganic fertilizer,,,,,,,,,
Have you ever experienced issues related to organic fertilizer use on your farm?,Yes,Yes,Yes,,Yes,Yes,,,Yes,
Please expain what issues you have experienced:,It contains worms which eat the plant. They sometimes apply it prematurely sometimes ,I have faced problems with cow manure because it dry out plants when applied before the cow manure is completely decomposed,When I use goat directly or without process it dry out maize. I process by spraying water on the manure for 2 weeks.,,It was taking a long time to have the maize growing health. ,Over application and under application fertilizer cause poor growth of crops. I don't know the ratios of using manure,,,"Maize wilted when I applied goat manure. But when I applied goat manure after exposed it to rainforest time, maize didn't wilt.",
Do you think the usage of organic fertilizer can have a negative impact on your crops?,Yes,Yes,No,,Yes,No,,,No,
Why do you think so? What could be an impact?,The yield is very little ( tomato is very small)  compared to inorganic fertilizer. ,Because it takes time to start working ,,,The crops don't grow health as with inorganic fertilizer. So the maize crops/fruits and kernels are not big enough,,,,,
Why do you think so?,,,I don't see any impacts,,,May crops grow well when I apply it on my fields ,,,We just don't know how to use and apply fertilizer that's why maize wilted that time. But it doesn't have any negative impact ,
How strongly do changing organic fertilizer prices impact your farming operations?,A great deal,A great deal,A little,,A great deal,A great deal,,,A little,
Do you use cover crops as a tool to increase the soil quality?,No,No,No,No,No,No,,No,No,No
Have you ever heard of compost?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
"Can you explain what you know about compost (e.g. Definition, what it is used for etc.)?",We heard on the radio that dry leaves are fertilizer when the fall on the farm/soil,It's fertilizer made from green grass.,"People say compost is fertilizer. But, I don't know how it's made. I just hear the word of compost.","It's piling biodegradable waste and then putting ash, manure and water. You turn the mix til, you get manure. The time it takes to make compost depends on biodegradable waste. Normally, it takes 2 months to make compost.",It's manure made by mixing leaves and other biodegradable materials. Then you wait for it to break down. I only hear it from people - and I have never seen it,"It's fertilizer that is made when a pit is dug for pulling waste like leaves, sugarcane chafe and ash. No plastic should be on it. The pit should be 1×1×1 meter. You water the waste in the pit",,"Fertilizer made of mixing inorganic fertilizer, maize bran, leaves and everything that decomposes.",It's fertizer that is made by piling animal manure and putting water on the manure over time,"Is fertilizer made by mixing maize brain and other biodegradable waste in a pit for 40 days, and using it later after breakdown as fertilizer. You use water. Some say it's bad because it brings worms that eat maize"
Have you ever used compost?,No,No,No,Yes,No,Yes,No,No,No,No
Compost is beneficial for your soil and crops. Do you agree with this statement?,,,,Strongly agree,,Strongly agree,,,,
Would you be willing to use it on your fields?,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes
Why would you like to use it on your fields? What are your expectations?,,"My field is not fertile and sandy, he believes compost would help",It's cheaper than fertilizer. We can also make it on our own without spending money,"It will help me to get high yield as my crops will grow health. I think it's the only way to tackle fertilizer problems in Malawi. Also, compost help inorganic fertilizer to work in soils that are depleted for nutrients. Inorganic fertilizer doesn't work in heavy nutrient depleted soils.","From what I heard, compost improves soil nutrients. It also restores soil. It's cheap so I can improve our farming operations. ",It keeps moisture in the soil. Even when rain is not enough crios doesn't wilt,,It can make maize grow better,It can increase yield.,"We expect it to supplement inorganic fertilizer. Hence, it can reduce the use of inorganic"
What do you think how much compost would you need in a year? [kg],,350,250,2500,900,1200,,250,500,150
Compost is beneficial for your soil and crops. Do you agree with this statement?,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,Strongly agree,Strongly agree,Strongly agree
What do you think are advantages of compost over inorganic fertilizer?,"It's cheap. But., I'm for inorganic fertilizer because it's faster and gives high yield",Compost can retain nutrients. Inorganic fertilizer depletes nutrients in soil,It's cheaper than inorganic fertilizer. It retain nutrients while inorganic fertilizer depletes nutrients in soil.,"Compost rejuvenates or replenishes soils. You can apply compost for some time and stop, still you will get high yield. With inorganic fertilizer, you can't get yield if you didn't apply/skip it on your field",It's cheap. It restores soil and improves soil nutrient,It keeps moisture in the soil than inorganic fertilizer. It restores or replenishes nutrients in the soil.,It's cheap. Gives soil nutrients ,Can be made by oneself since it uses local materials. We can be applying fertilizer on time since we can make it ourselves,It's cheap and we can do it ourselves. ,It restores soil nutrients. It's cheap
What do you think are advantages of inorganic fertilizer over compost?,It's faster and gives high yield,Inorganic fertilizer is fast and makes plants to grow strongly fast,It works fast since plants grow strong and health fast.,It's takes a very short time to start working. It contains a certain chemical that makes crops to produce health and strong fruits.,Change is guaranteed as you know when change will happen. It's also faster.,Works fast. You are guaranteed to get high yield,It's fast. Maize grow health and fast. Compost is time consuming ,It's fast to react when there's rain. It gives strong fruits,It's fast and you get high yield all the times,It produces high yield
Do you think plants can grow good enough if you only supply them with compost?,No,No,Maybe,Yes,Maybe,No,Maybe,Maybe,Yes,No
Would you be willing to use it if it is for free?,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes
How much would you be willing to pay for a 50 kg bag of compost? [MWK],,2000,10000,2000,10000,3000,,10000,5000,10000
Do you have any final remarks?,We are excited about the question of a possibility to learn more about agriculture to make their activities. They would like to receive animals to support supplement their business. They want to learn more about about pesticides. ,"I would like to use/try compost, I would also like to be assisted with inorganic fertilizer because it's fast and it make plants green. ",Happy that we came to ask about farming. They would be happy to learn about simple ways of making fertilizer because it's not possible now to buy fertilizer because of its high price. They want to learn more farming to teach others too,"I'm happy that you came. It's motivating and I have learnt something from this conversation. Your coming has taught me that there are small things you don't, that you thing are not significant but are significant to others. This is what I have learnt from your coming.",We want sustainable ways of improving soil. We want to learn about fertilizer making or  compost. ,Happy to see you and I hope to learn more from agriculture. I hope to teach what I will learn from you to teach others.,"Willing to use compost for free. Willing to pay K15000. Compost is made by pilling biodegradable waste, adding water and turning it over for sometime. ",I'm happy with the questions. People want to produce and harvest more yield. We would love to have an alternative of inorganic fertilizer because inorganic fertilizer is very expensive ,"We are excited by your visit. This visit can also be made better if we can learn about fertilizer making. Learning is not just going to school, even visuts can also be part of learning. Just like President Kamuzu Banda used to say, you learn a lot through travelling.",We expect to learn more from you. We are farming without proper knowledge 
